,real_stock_price,predicted_price
0,1071.52587890625,1048.339966
1,1070.0262451171875,1064.310059
2,1073.091064453125,1088.0
3,1082.9263916015625,1094.0
4,1094.7244873046875,1102.22998
5,1105.5885009765625,1109.400024
6,1114.30615234375,1097.099976
7,1116.8834228515625,1106.300049
8,1117.811767578125,1102.410034
9,1117.3245849609375,1132.51001
10,1123.139892578125,1126.219971
11,1129.601806640625,1131.410034
12,1135.658935546875,1131.829956
13,1140.0885009765625,1137.48999
14,1143.9847412109375,1159.849976
15,1151.7652587890625,1177.329956
16,1163.4613037109375,1172.530029
17,1172.77783203125,1175.079956
18,1178.8616943359375,1176.47998
19,1182.3060302734375,1167.829956
20,1182.1190185546875,1170.569946
21,1181.347900390625,1162.609985
22,1179.3865966796875,1122.0
23,1169.18408203125,1090.599976
24,1151.5628662109375,1027.180054
25,1122.600341796875,1081.540039
26,1107.0260009765625,1055.410034
27,1098.4110107421875,1017.25
28,1087.1285400390625,1048.0
29,1082.8585205078125,1045.0
30,1082.71630859375,1048.949951
31,1084.7119140625,1079.069946
32,1092.7794189453125,1088.410034
33,1103.0877685546875,1090.569946
34,1111.1234130859375,1106.469971
35,1118.404052734375,1116.189941
36,1125.0228271484375,1112.640015
37,1128.4317626953125,1127.800049
38,1132.4251708984375,1141.23999
39,1138.6893310546875,1123.030029
40,1140.496826171875,1107.869995
41,1136.3778076171875,1053.079956
42,1119.29541015625,1075.140015
43,1105.3834228515625,1099.219971
44,1103.0804443359375,1089.189941
45,1105.740234375,1115.319946
46,1115.3045654296875,1136.0
47,1129.9552001953125,1163.849976
48,1148.668701171875,1170.0
49,1164.9132080078125,1145.209961
50,1169.43115234375,1149.959961
51,1168.0657958984375,1154.140015
52,1165.770751953125,1120.01001
53,1156.9808349609375,1099.0
54,1143.386474609375,1092.73999
55,1130.4124755859375,1081.880005
56,1119.6456298828125,1047.030029
57,1105.93017578125,1046.0
58,1094.0445556640625,1063.0
59,1090.0205078125,998.0
60,1077.58544921875,1011.6300050000001
61,1065.78662109375,1022.820007
62,1059.8726806640625,1013.909973
63,1056.5313720703125,993.409973
64,1050.2440185546875,1041.329956
65,1053.205078125,1020.0
66,1055.661865234375,1016.7999880000001
67,1055.2742919921875,1026.439941
68,1054.8837890625,1027.98999
69,1054.6629638671875,1025.040039
70,1053.6025390625,1040.880005
71,1055.404052734375,1037.0
72,1057.285888671875,1051.369995
73,1061.41455078125,1077.430054
74,1071.124267578125,1069.400024
75,1079.2352294921875,1082.0
76,1086.59521484375,1077.859985
77,1090.7320556640625,1052.0
78,1086.67822265625,1025.52002
79,1074.2098388671875,1029.51001
80,1062.119873046875,1046.0
81,1057.741455078125,1030.01001
82,1055.69482421875,1013.659973
83,1051.622802734375,1028.099976
84,1050.3765869140625,1019.0
85,1049.226806640625,1016.900024
86,1047.7261962890625,1049.22998
87,1053.130126953125,1058.540039
88,1062.7716064453125,1058.099976
89,1071.3251953125,1086.030029
90,1082.4658203125,1093.599976
91,1093.4466552734375,1100.0
92,1102.45703125,1090.0
93,1105.7650146484375,1077.310059
94,1102.7264404296875,1079.890015
95,1098.3399658203125,1061.859985
96,1091.3153076171875,1074.060059
97,1087.85205078125,1083.560059
98,1089.7730712890625,1065.130005
99,1090.2000732421875,1079.0
100,1092.51904296875,1079.02002
101,1095.4168701171875,1064.890015
102,1094.8023681640625,1063.030029
103,1092.102294921875,1067.560059
104,1090.227783203125,1099.349976
105,1096.302978515625,1122.329956
106,1109.929443359375,1140.98999
107,1127.260498046875,1142.170044
108,1141.2476806640625,1131.319946
109,1146.917236328125,1118.180054
110,1144.2388916015625,1118.599976
111,1138.8712158203125,1131.069946
112,1137.104736328125,1141.119995
113,1140.4429931640625,1143.849976
114,1146.25732421875,1148.859985
115,1152.7994384765625,1143.650024
116,1156.8316650390625,1158.5
117,1161.8839111328125,1175.310059
118,1170.025634765625,1174.849976
119,1177.460693359375,1159.140015
120,1179.05224609375,1143.599976
121,1174.22802734375,1128.0
122,1164.8099365234375,1121.339966
123,1154.935302734375,1102.089966
124,1144.0445556640625,1120.0
