,real_stock_price_low,predicted_price_low
0,1044.5445556640625,1045.22998
1,1044.6180419921875,1063.209961
2,1056.74658203125,1084.001953
3,1071.6793212890625,1092.0
4,1079.047607421875,1101.619995
5,1087.452880859375,1101.230957
6,1089.2884521484375,1096.109985
7,1087.3402099609375,1099.589966
8,1090.099853515625,1101.150024
9,1091.5689697265625,1117.8320310000001
10,1102.6868896484375,1117.01001
11,1103.6365966796875,1117.5
12,1105.1942138671875,1128.300049
13,1112.8970947265625,1135.109985
14,1118.371826171875,1158.75
15,1134.2705078125,1161.050049
16,1138.149658203125,1162.76001
17,1141.3836669921875,1158.109985
18,1140.18994140625,1171.97998
19,1149.1456298828125,1163.52002
20,1145.407470703125,1159.130005
21,1143.5084228515625,1157.52002
22,1142.681640625,1107.277954
23,1112.7236328125,1052.030029
24,1075.078369140625,1023.137024
25,1050.140869140625,1048.26001
26,1060.70263671875,1000.659973
27,1026.317626953125,992.5599980000001
28,1015.8767700195312,1040.9279789999998
29,1045.99365234375,1044.087036
30,1047.9522705078125,1046.75
31,1049.7413330078125,1064.339966
32,1061.9588623046875,1088.3129880000001
33,1078.58935546875,1088.52002
34,1080.4183349609375,1106.329956
35,1093.03662109375,1102.589966
36,1092.2833251953125,1104.713989
37,1094.394775390625,1126.694946
38,1108.8673095703125,1118.0
39,1105.037841796875,1103.23999
40,1096.6343994140625,1067.000977
41,1073.20361328125,1048.11499
42,1058.132568359375,1069.0
43,1068.8587646484375,1089.775024
44,1081.4410400390625,1085.482056
45,1079.706298828125,1112.800049
46,1098.2762451171875,1132.4610599999999
47,1112.813232421875,1157.420044
48,1130.9078369140625,1133.329956
49,1119.9208984375,1141.439941
50,1125.9207763671875,1134.540039
51,1122.2811279296875,1131.959961
52,1120.692626953125,1089.01001
53,1094.0953369140625,1083.459961
54,1087.8665771484375,1085.150024
55,1086.4425048828125,1045.910034
56,1059.62890625,1021.2199710000001
57,1039.9476318359375,1008.400024
58,1027.4647216796875,996.919983
59,1015.8543090820312,980.6400150000001
60,1001.1594848632812,1002.900024
61,1013.5751342773438,990.3699949999999
62,1003.7303466796875,994.070007
63,1004.3840942382812,993.0
64,1002.6633911132812,1020.130981
65,1020.59912109375,1003.0300289999999
66,1009.3236694335938,1014.080017
67,1016.0389404296875,1011.340027
68,1014.2225952148438,1015.8699949999999
69,1016.7888793945312,1021.4349980000001
70,1020.5748291015625,1022.9799800000001
71,1021.8028564453125,1026.73999
72,1024.6182861328125,1048.26001
73,1039.89404296875,1066.224976
74,1053.6417236328125,1068.180054
75,1057.2081298828125,1069.569946
76,1060.022705078125,1060.699951
77,1055.5037841796875,1010.590027
78,1022.1526489257812,1015.3099980000001
79,1022.3322143554688,1018.1900019999999
80,1022.37939453125,1025.589966
81,1026.17041015625,1016.849976
82,1020.1365356445312,1008.2100220000001
83,1013.78076171875,1022.8699949999999
84,1023.348388671875,1006.2899779999999
85,1012.1053466796875,1016.900024
86,1018.5387573242188,1047.099976
87,1039.634521484375,1047.14502
88,1041.3148193359375,1056.36499
89,1048.839599609375,1085.640015
90,1070.0645751953125,1090.910034
91,1076.146728515625,1099.109985
92,1083.7415771484375,1073.469971
93,1069.297119140625,1076.26001
94,1070.9044189453125,1073.5
95,1068.8868408203125,1060.680054
96,1060.128662109375,1073.650024
97,1068.0177001953125,1066.689941
98,1063.775634765625,1061.709961
99,1060.47314453125,1066.150024
100,1063.304443359375,1073.775024
101,1068.4739990234375,1055.219971
102,1056.8759765625,1056.829956
103,1057.3277587890625,1067.560059
104,1064.055908203125,1098.5
105,1084.6109619140625,1122.005005
106,1101.7789306640625,1133.189941
107,1111.984619140625,1125.743042
108,1110.45654296875,1116.52002
109,1106.26953125,1112.150024
110,1103.7197265625,1118.599976
111,1107.4327392578125,1130.734985
112,1115.1864013671875,1133.380005
113,1117.9375,1140.640015
114,1123.6524658203125,1143.484985
115,1126.7716064453125,1143.589966
116,1128.0635986328125,1154.01001
117,1135.2606201171875,1169.160034
118,1145.51318359375,1152.232056
119,1137.4580078125,1147.26001
120,1135.0638427734375,1112.780029
121,1114.0421142578125,1116.659058
122,1114.145263671875,1103.619995
123,1104.38720703125,1096.01001
124,1097.945068359375,1115.0
