,real_stock_price_close,predicted_price_close
0,1037.318603515625,1065.0
1,1049.7972412109375,1082.47998
2,1064.0072021484375,1086.400024
3,1069.470458984375,1102.22998
4,1081.7335205078125,1106.939941
5,1088.405029296875,1106.26001
6,1089.6318359375,1102.609985
7,1087.9010009765625,1105.52002
8,1089.53076171875,1122.26001
9,1100.17822265625,1121.76001
10,1101.643798828125,1131.97998
11,1108.2762451171875,1129.790039
12,1109.168701171875,1137.51001
13,1114.630126953125,1155.810059
14,1127.47265625,1169.969971
15,1138.9970703125,1164.23999
16,1138.72119140625,1170.369995
17,1143.19580078125,1175.839966
18,1148.3221435546875,1175.579956
19,1149.4129638671875,1163.689941
20,1142.828125,1169.939941
21,1145.255859375,1167.699951
22,1144.6318359375,1111.900024
23,1110.6318359375,1055.800049
24,1067.851318359375,1080.599976
25,1076.507080078125,1048.579956
26,1054.7305908203125,1001.5200199999999
27,1015.4337768554688,1037.780029
28,1034.90869140625,1051.939941
29,1047.9735107421875,1052.099976
30,1048.241943359375,1069.699951
31,1060.6829833984375,1089.52002
32,1077.52783203125,1094.800049
33,1084.0885009765625,1102.459961
34,1089.811767578125,1111.339966
35,1096.4825439453125,1106.630005
36,1094.0771484375,1126.790039
37,1105.3009033203125,1143.75
38,1117.5137939453125,1118.290039
39,1103.564453125,1104.72998
40,1092.2103271484375,1069.52002
41,1067.92724609375,1078.920044
42,1068.8704833984375,1090.930054
43,1075.8419189453125,1095.060059
44,1078.489013671875,1109.640015
45,1088.715087890625,1126.0
46,1102.5531005859375,1160.040039
47,1127.225830078125,1164.5
48,1136.4346923828125,1138.170044
49,1123.5814208984375,1149.48999
50,1128.88037109375,1149.579956
51,1130.312255859375,1135.72998
52,1120.6424560546875,1099.819946
53,1095.5079345703125,1097.709961
54,1089.16259765625,1090.880005
55,1082.9342041015625,1049.079956
56,1052.7196044921875,1021.570007
57,1028.369140625,1053.209961
58,1046.4132080078125,1005.099976
59,1015.5458984375,1004.5599980000001
60,1008.107177734375,1031.790039
61,1027.557861328125,1006.4699710000001
62,1012.2877807617188,1013.409973
63,1012.9612426757812,1025.140015
64,1022.327392578125,1027.810059
65,1024.72900390625,1007.0399779999999
66,1009.1123046875,1015.4500119999999
67,1011.9942016601562,1031.640015
68,1023.482421875,1019.9699710000001
69,1015.3172607421875,1032.51001
70,1021.5676879882812,1029.27002
71,1020.7736206054688,1037.97998
72,1026.066650390625,1074.160034
73,1051.7872314453125,1072.079956
74,1055.080322265625,1087.699951
75,1065.9478759765625,1072.959961
76,1059.8128662109375,1067.449951
77,1055.365234375,1019.9799800000001
78,1022.3557739257812,1021.179993
79,1017.1296997070312,1040.040039
80,1028.902099609375,1030.050049
81,1021.8865356445312,1017.330017
82,1011.0406494140625,1037.310059
83,1025.0364990234375,1024.380005
84,1019.3474731445312,1023.7199710000001
85,1017.4078979492188,1048.209961
86,1035.118408203125,1054.790039
87,1042.8297119140625,1053.910034
88,1042.9344482421875,1082.76001
89,1063.052978515625,1097.569946
90,1077.1717529296875,1098.26001
91,1079.890869140625,1100.199951
92,1082.2432861328125,1079.22998
93,1069.7322998046875,1081.77002
94,1068.9267578125,1078.589966
95,1066.406494140625,1066.359985
96,1056.7398681640625,1079.579956
97,1063.61962890625,1069.72998
98,1058.6981201171875,1079.689941
99,1064.363037109375,1079.23999
100,1066.087646484375,1075.660034
101,1064.421142578125,1060.319946
102,1054.500244140625,1067.800049
103,1058.132080078125,1084.98999
104,1070.18212890625,1119.5
105,1093.9459228515625,1139.290039
106,1111.121826171875,1139.660034
107,1115.7152099609375,1136.880005
108,1116.5059814453125,1123.859985
109,1109.767333984375,1120.869995
110,1106.340576171875,1129.98999
111,1110.5628662109375,1139.319946
112,1116.1790771484375,1134.790039
113,1114.1275634765625,1152.119995
114,1124.7091064453125,1152.26001
115,1128.0413818359375,1173.459961
116,1141.703369140625,1168.060059
117,1142.646728515625,1169.839966
118,1144.478759765625,1157.660034
119,1138.69091796875,1155.47998
120,1136.260009765625,1124.810059
121,1117.095947265625,1118.459961
122,1108.6009521484375,1103.97998
123,1097.449462890625,1114.219971
124,1100.58349609375,1115.650024
